"ATM","AccountID","Location","TransAmt","TransDate","TransNo"
"27","","Robson Street",340.00,"2001/06/03","312279"
"28","559491","Lamar Boulevard",50.00,"2001/06/03","312280"
"16","","Oak Street",430.00,"2001/06/03","312281"
"28","815062","Lamar Boulevard",210.00,"2001/06/03","312282"
"27","463451","Robson Street",360.00,"2001/06/03","312283"
"27","329169","Robson Street",5231.36,"2001/06/03","312284"
"19","","Linden Avenue",5334.87,"2001/06/31","312285"
"27","836004","Robson Street",110.00,"2001/06/03","312286"
"23","463451","Magnolia Way",360.00,"2001/06/03","312287"
"27","812465","Robson Street",20.00,"2001/06/03","312288"
"27","65003","Robson Street",6976.89,"2001/06/03","312289"
"27","","Robson Street",800.87,"2001/06/03","312290"
"16","","Oak Street",350.00,"2001/06/03","312291"
"27","113236","Robson Street",390.00,"2001/06/03","312292"
"28","641464","Lamar Boulevard",622.92,"2001/06/03","312293"
"23","65003","Magnolia Way",40.00,"2001/06/03","312295"
"19","264629","Linden Avenue",5602.60,"2001/06/03","312295"
"27","641464","Robson Street",430.00,"2001/06/03","312296"
"28","","Lamar Boulevard",330.00,"2001/06/03","312297"
"16","820025","Oak Street",160.00,"2001/06/03","312298"
"27","301037","Robson Street",5773.82,"2001/06/03","312299"
"27","","Robson Street",470.00,"2001/06/03","312300"
"27","504356","Robson Street",913.62,"2001/06/03","312301"
"21","","Congress Street",3000000.00,"2001/06/03","312302"
"28","","Lamar Boulevard",8470.85,"2001/06/03","312303"
"19","202028","Linden Avenue",9266.18,"2001/06/03","312304"
"23","512328","Magnolia Way",5739.80,"2001/06/03","312305"
"23","","Magnolia Way",3844.08,"2001/06/03","312306"
"28","","Lamar Boulevard",1175.35,"2001/06/03","312307"
"22","811002","Eighth Avenue",80.00,"2001/06/03","312308"
"16","65003","Oak Street",3254.66,"2001/06/03","312309"
"23","","Magnolia Way",430.00,"2001/06/03","312310"
"27","","Robson Street",490.00,"2001/06/03","312311"
"21","","Congress Street",2000000.43,"2001/06/03","312312"
"21","","Congress Street",160.00,"2001/06/03","312313"
"22","994403","Eighth Avenue",130.00,"2001/06/03","312314"
"23","914508","Magnolia Way",310.00,"2001/06/03","312315"
"23","","Magnolia Way",210.00,"2001/06/03","312316"
"22","994403","Eighth Avenue",40.00,"2001/06/03","312317"
"16","","Oak Street",50.00,"2001/06/03","312318"
"23","35189","Magnolia Way",190.00,"2001/06/03","312319"
"27","359310","Robson Street",430.00,"2001/06/03","312320"
"22","815062","Eighth Avenue",521.83,"2001/06/03","312321"
"16","562270","Oak Street",110.00,"2001/06/03","312322"
"19","269267","Linden Avenue",3207.75,"2001/06/03","312323"
"22","56016","Eighth Avenue",280.00,"2001/06/03","312324"
"28","222006","Lamar Boulevard",460.00,"2001/06/03","312325"
"21","","Congress Street",599321.00,"2001/06/03","312326"
"22","559491","Eighth Avenue",390.00,"2001/06/03","312326"
"22","559491","Eighth Avenue",391.00,"2001/06/03","312327"
"22","","Eighth Avenue",7571.54,"2001/06/03","312328"
"23","35189","Magnolia Way",8813.83,"2001/06/03","312329"
"27","297397","Robson Street",4589.32,"2001/06/03","312330"
"19","463451","Linden Avenue",320.00,"2001/06/03","312331"
"22","176437","Eighth Avenue",1201.28,"2001/06/03","312332"
"19","811002","Linden Avenue",7595.83,"2001/06/03","312333"
"23","","Magnolia Way",180.00,"2001/06/03","312334"
"23","501657","Magnolia Way",140.00,"2001/06/03","312335"
"27","914508","Robson Street",4749.41,"2001/06/03","312336"
